time_from_start,archie_move_x,archie_move_y,archie_move_z,archie_turn_z,bernard_move_x,bernard_move_y,bernard_move_z,bernard_turn_z
1,0,0,0,-2.8082593203,3.0405070264,0.9594929736,0,0
2,1,0.5,0.1,-2.4749259869,3.1587464672,0.8412535328,1,0
3,1,0.7071067812,0.2,-2.1415926536,3.3451392661,0.6548607339,1,0
4,1,0.8660254038,0.3,-1.8082593203,3.584584987,0.415415013,1,0
5,1,0.9659258263,0.4,-1.4749259869,3.8576851617,0.1423148383,1,0
6,1,1,0.5,-1.1415926536,4.1423148383,-0.1423148383,1,0
7,1,0.9659258263,0.6,-0.8082593203,4.415415013,-0.415415013,1,0
8,1,0.8660254038,0.7,-0.4749259869,4.6548607339,-0.6548607339,1,0
9,1,0.7071067812,0.8,-0.1415926536,4.8412535328,-0.8412535328,1,0
10,1,0.5,0.9,0.1917406797,4.9594929736,-0.9594929736,1,0
11,1,0.2588190451,1,0.5250740131,5,-1,1,0
12,1,1.22464679914735E-016,1.1,0.8584073464,4.9594929736,-0.9594929736,1,0
13,1,-0.2588190451,1.2,1.1917406797,4.8412535328,-0.8412535328,1,0
14,1,-0.5,1.3,1.5250740131,4.6548607339,-0.6548607339,1,0
15,1,-0.7071067812,1.4,1.8584073464,4.415415013,-0.415415013,1,0
16,1,-0.8660254038,1.5,2.1917406797,4.1423148383,-0.1423148383,1,0
17,1,-0.9659258263,1.6,2.5250740131,3.8576851617,0.1423148383,1,0
18,1,-1,1.7,2.8584073464,3.584584987,0.415415013,1,0
19,1,-0.9659258263,1.8,-3.0914446274,3.3451392661,0.6548607339,1,0
20,1,-0.8660254038,1.9,-2.7581112941,3.1587464672,0.8412535328,1,0
21,1,-0.7071067812,2,-2.4247779608,3.0405070264,0.9594929736,1,0
22,1,-0.5,2.1,-2.0914446274,3,1,1,0
23,1,-0.2588190451,2.2,-1.7581112941,3.0405070264,0.9594929736,1,0
24,1,-2.44929359829471E-016,2.3,-1.4247779608,3.1587464672,0.8412535328,1,0
25,1,0.2588190451,2.4,-1.0914446274,3.3451392661,0.6548607339,1,0
26,1,0.5,2.5,-0.7581112941,3.584584987,0.415415013,1,0
27,1,0.7071067812,2.6,-0.4247779608,3.8576851617,0.1423148383,1,0
28,1,0.8660254038,2.7,-0.0914446274,4.1423148383,-0.1423148383,1,0
29,1,0.9659258263,2.8,0.2418887059,4.415415013,-0.415415013,1,0
30,1,1,2.9,0.5752220392,4.6548607339,-0.6548607339,1,0
